GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
it8-0.8.0-SNAPSHOT Maven Webapp,iso2.cliente.Dominio,Usuario,11,0,0,0,3,0,3,0,3,0
it8-0.8.0-SNAPSHOT Maven Webapp,iso2.cliente.Dominio,Control_notificaciones,7,0,0,0,2,0,2,0,2,0
it8-0.8.0-SNAPSHOT Maven Webapp,iso2.servidor.Persistencia,Agente,14,0,0,0,4,0,3,0,3,0
it8-0.8.0-SNAPSHOT Maven Webapp,iso2.cliente.Presentacion,IU_notificaciones,14,0,0,0,5,0,3,0,3,0
it8-0.8.0-SNAPSHOT Maven Webapp,iso2.servidor.Presentacion,IU_enviar_notificaciones,7,0,0,0,2,0,2,0,2,0
it8-0.8.0-SNAPSHOT Maven Webapp,iso2.servidor.Dominio,Notificacones,7,0,0,0,2,0,2,0,2,0
it8-0.8.0-SNAPSHOT Maven Webapp,iso2.servidor.Dominio,Control_notif,7,0,0,0,2,0,2,0,2,0
it8-0.8.0-SNAPSHOT Maven Webapp,iso2.cliente.Persistencia,Proxy,14,0,0,0,4,0,3,0,3,0
